arcPos	arcNr	speedSetting	calmWaterSpeed(k)	sogAllInclusive(k)	distance(k)	accumDist(km)	distLeft(km)	time(h)	fuelBase	emission	safetyBase	channelCost	maxWindSpeed	maxWaveHeight	weightCost	fromLevel	fromPointNr	fromTimeInterval	toLevel	toPointNr	toTimeInterval	lat1	lon1	lat2	lon2	WindFactor	WaveFactor	CurrentFactor	DelayFactor	WindSpeedDiff(k)	WaveSpeedDiff(k)	CurrentSpeedDiff(k)	DelaySpeedDiff(k)	dollarCostArcs	forecastType	exactTime	dollarCostExact	fuelCostExact	timeCostExact	channelCost
43	327089	8	15.320000	15.141773	91.715211	7127.890901	849.274778	6.057098	9295.626915	36.613151	0.000000	0.000000	24.758056	1.600000	353349.185268	42	45	1155	43	45	1179	-10.105116	41.463927	-10.105561	39.936370	-0.279	-1.463	0.676	0.000	-0.047	-0.244	0.113	0.000	12828.934	Fcst	294.755278	12828.934279	9295.626915	3533.307364	0.000000
44	327739	8	15.320000	15.288098	91.715211	7297.747471	679.418208	5.999125	9206.656902	36.262720	0.000000	0.000000	31.351288	1.550000	349967.220604	43	45	1179	44	45	1203	-10.105561	39.936370	-9.986845	38.425511	-0.076	-1.166	1.054	0.000	-0.013	-0.195	0.176	0.000	12706.146	Fcst	300.754403	12706.146385	9206.656902	3499.489483	0.000000
45	337302	8	15.320000	15.274960	91.715211	7467.604041	509.561638	6.004285	9228.401196	36.348365	0.000000	0.000000	42.216336	1.950000	350268.268725	44	45	1203	45	45	1227	-9.986845	38.425511	-9.242659	37.015912	-0.067	-0.435	0.240	0.000	-0.011	-0.073	0.040	0.000	12730.901	Fcst	306.758688	12731.691891	9229.192359	3502.499532	0.000000
46	348402	8	15.320000	15.165014	91.715211	7637.460611	339.705068	6.047816	9281.381009	36.557039	0.000000	0.000000	32.314485	1.610000	352807.664025	45	45	1227	46	45	1251	-9.242659	37.015912	-7.571210	36.393861	-0.372	-0.070	-0.473	0.000	-0.062	-0.012	-0.079	0.000	12809.273	Fcst	312.806504	12809.273443	9281.381009	3527.892434	0.000000
47	377621	8	15.320000	15.194710	91.710852	7807.317181	169.848498	6.035709	9534.290422	36.558520	0.000000	0.000000	17.407068	0.730000	352101.715787	46	45	1251	47	0	1275	-7.571210	36.393861	-5.766667	35.950000	-0.487	0.036	-0.257	0.000	-0.081	0.006	-0.043	0.000	13055.121	Fcst	318.842213	13056.836549	9536.006130	3520.830419	0.000000
total	combined	7977.165679	318.842213	387265.534209	1519.645252	0.000000	0.000000	18599895.579314

obj_weights
obj_nr	lev1	lev2	ime	fuel	safety
2	0	0	100.000000	0.001000	0.100000
2	0	0	100.000000	0.001000	0.100000
used rpm_setting 72.45 knots 23.45 33 times
used rpm_setting 85.13 knots 28.37 15 times
nSpeedChange	1
tot fuel (ton)	482.071
tot time (h)	318.842
tot distance (nautical miles)	4307.325
fuel cost (dollar)	387979.433
time cost (dollar)	185991.291
total cost (dollar)	573970.724
delay	-26.193
averageConsumption_transit (ton/24h)	36.087
averageConsumptionAux_transit (ton/24h)	0.200
averageSpeedSOG_transit (knots)	13.509
averageSpeedOnWater_transit (knots)	13.638
averageWindSpeed (m/s)	7.407
averageRelCurrent (knots)	0.289
averageCurrent (knots)	0.545
averageWaveHight (m)	1.854
maxWindSpeed (m/s)	12.194
maxCurrent (knots)	3.548
maxWaveHight (m)	2.730
