waveHeight	wavePeriod	value
15	8	7.2506357128779
15.5	8	9.06399211319854
16	8	11.0255268163509
16.5	8	13.1061532199813
17	8	15.2776392480757
0.5	8.5	0
1	8.5	0
1.5	8.5	0
2	8.5	0
2.5	8.5	0
3	8.5	0
3.5	8.5	0
4	8.5	0
4.5	8.5	0
5	8.5	4.04472496661358E-03
5.5	8.5	5.77524771284645E-03
6	8.5	8.24616912646675E-03
6.5	8.5	1.17742664286133E-02
7	8.5	1.68118489696039E-02
7.5	8.5	2.40047452204679E-02
8	8.5	3.42750993148588E-02
8.5	8.5	4.89395918287748E-02
9	8.5	6.98782409458628E-02
9.5	8.5	9.97754246658233E-02
10	8.5	0.142464023600107
10.5	8.5	0.203416804171058
11	8.5	0.290448038554032
11.5	8.5	0.41471531048607
12	8.5	0.592149940511864
12.5	8.5	1.00140115265481
13	8.5	1.56283734811123
13.5	8.5	2.31611656663666
14	8.5	3.34346108476577
14.5	8.5	4.58566700857643
15	8.5	6.03014142975823
15.5	8.5	7.65738278248221
16	8.5	9.44357210157088
16.5	8.5	11.3628065917798
17	8.5	13.3888524850261
0.5	9	0
1	9	0
1.5	9	0
2	9	0
2.5	9	0
3	9	0
3.5	9	0
4	9	0
4.5	9	0
5	9	2.5351169574588E-03
5.5	9	3.72909487606725E-03
6	9	5.48540711456978E-03
6.5	9	8.06889934758264E-03
7	9	1.18691530676891E-02
7.5	9	1.74592330968212E-02
8	9	2.56821037348442E-02
8.5	9	3.77777447949526E-02
9	9	5.55701361744859E-02
9.5	9	8.17423075732009E-02
10	9	0.12024092988384
10.5	9	0.176871459205911
11	9	0.260173579095322
11.5	9	0.382708954645227
12	9	0.562955487159515
12.5	9	0.828093716324963
13	9	1.31567294903799
13.5	9	1.95416546436494
14	9	2.7489042081474
14.5	9	3.700192041498
15	9	4.95938108004445
15.5	9	6.40327949832374
16	9	8.01302878174758
16.5	9	9.76650195153717
17	9	11.6401064970572
0.5	9.5	0
1	9.5	0
1.5	9.5	0
2	9.5	0
2.5	9.5	0
3	9.5	0
3.5	9.5	0
4	9.5	0
4.5	9.5	0
5	9.5	1.32816051309367E-03
5.5	9.5	2.01300798674553E-03
6	9.5	3.0509875235355E-03
6.5	9.5	4.62418675437973E-03
7	9.5	7.00858426146631E-03
7.5	9.5	1.06224631398266E-02
8	9.5	1.60997883377617E-02
8.5	9.5	2.44014200010637E-02
9	9.5	3.69836724295155E-02
9.5	9.5	5.60537881120884E-02
10	9.5	8.49571433908591E-02
10.5	9.5	0.1287641113336
11	9.5	0.195159532274431
11.5	9.5	0.295790827452679
12	9.5	0.448311248676854
12.5	9.5	0.679476701225135
13	9.5	1.10179619238672
13.5	9.5	1.66388065866305
14	9.5	2.37279141840973
14.5	9.5	3.2293374806353
15	9.5	4.22908949725229
15.5	9.5	5.36358921452967
16	9.5	6.73566619598588
16.5	9.5	8.32214964437972
17	9.5	10.0391522848587
0.5	10	0
1	10	0
1.5	10	0
2	10	0
2.5	10	0
3	10	0
3.5	10	0
4	10	0
4.5	10	0
5	10	0
5.5	10	4.44425733909763E-03
6	10	6.33927665477626E-03
6.5	10	9.04232708404566E-03
7	10	1.28979509094719E-02
7.5	10	0.018397602311541
8	10	2.62422902047994E-02
8.5	10	3.74319318099895E-02
9	10	5.33928063478032E-02
9.5	10	7.61593546431184E-02
10	10	0.108633497589042
10.5	10	0.154954527303033
11	10	0.221026718872101
11.5	10	0.315271914319929
12	10	0.449703006343181
12.5	10	0.641455152611133
13	10	0.914969895703505
13.5	10	1.40803692748019
14	10	2.03930688815487
14.5	10	2.81143121980871
15	10	3.7217974901209
15.5	10	4.76364598766886
16	10	5.92721647360963
16.5	10	7.20078688634275
17	10	8.58941570156399
0.5	10.5	0
1	10.5	0
1.5	10.5	0
2	10.5	0
2.5	10.5	0
3	10.5	0
3.5	10.5	0
4	10.5	0
4.5	10.5	0
5	10.5	0
5.5	10.5	2.40091961721707E-03
6	10.5	3.52164133706996E-03
