absoluteWindSpeed_knots	windDirectionDiff	significantWaveHeight_m	relativeWaveDirection	fuelFactorMain
1	30	2.5	40	1.00602380952381
1	30	2.5	50	1.00572261904762
1	30	2.5	60	1.00542142857143
1	30	2.5	70	1.00512023809524
1	30	2.5	80	1.00481904761905
1	30	2.5	90	1.00451785714286
1	30	2.5	100	1.00421666666667
1	30	2.5	110	1.00391547619048
1	30	2.5	120	1.00361428571429
1	30	2.5	130	1.0033130952381
1	30	2.5	140	1.0030119047619
1	30	2.5	150	1.00271071428571
1	30	2.5	160	1.00240952380952
1	30	2.5	170	1.00210833333333
1	40	2.5	0	1.00602380952381
1	40	2.5	10	1.00602380952381
1	40	2.5	20	1.00602380952381
1	40	2.5	30	1.00602380952381
1	40	2.5	40	1.00602380952381
1	40	2.5	50	1.00572261904762
1	40	2.5	60	1.00542142857143
1	40	2.5	70	1.00512023809524
1	40	2.5	80	1.00481904761905
1	40	2.5	90	1.00451785714286
1	40	2.5	100	1.00421666666667
1	40	2.5	110	1.00391547619048
1	40	2.5	120	1.00361428571429
1	40	2.5	130	1.0033130952381
1	40	2.5	140	1.0030119047619
1	40	2.5	150	1.00271071428571
1	40	2.5	160	1.00240952380952
1	40	2.5	170	1.00210833333333
1	50	2.5	0	1.00547619047619
1	50	2.5	10	1.00547619047619
1	50	2.5	20	1.00547619047619
1	50	2.5	30	1.00547619047619
1	50	2.5	40	1.00547619047619
1	50	2.5	50	1.00520238095238
1	50	2.5	60	1.00492857142857
1	50	2.5	70	1.00465476190476
1	50	2.5	80	1.00438095238095
1	50	2.5	90	1.00410714285714
1	50	2.5	100	1.00383333333333
1	50	2.5	110	1.00355952380952
1	50	2.5	120	1.00328571428571
1	50	2.5	130	1.0030119047619
1	50	2.5	140	1.0027380952381
1	50	2.5	150	1.00246428571429
1	50	2.5	160	1.00219047619048
1	50	2.5	170	1.00191666666667
1	60	2.5	0	1.00492857142857
1	60	2.5	10	1.00492857142857
1	60	2.5	20	1.00492857142857
1	60	2.5	30	1.00492857142857
1	60	2.5	40	1.00492857142857
1	60	2.5	50	1.00468214285714
1	60	2.5	60	1.00443571428571
1	60	2.5	70	1.00418928571429
1	60	2.5	80	1.00394285714286
1	60	2.5	90	1.00369642857143
1	60	2.5	100	1.00345
1	60	2.5	110	1.00320357142857
1	60	2.5	120	1.00295714285714
1	60	2.5	130	1.00271071428571
1	60	2.5	140	1.00246428571429
1	60	2.5	150	1.00221785714286
1	60	2.5	160	1.00197142857143
1	60	2.5	170	1.001725
1	0	3	0	1.00711904761905
1	0	3	10	1.00711904761905
1	0	3	20	1.00711904761905
1	0	3	30	1.00711904761905
1	0	3	40	1.00711904761905
1	0	3	50	1.0067630952381
1	0	3	60	1.00640714285714
1	0	3	70	1.00605119047619
1	0	3	80	1.00569523809524
1	0	3	90	1.00533928571429
1	0	3	100	1.00498333333333
1	0	3	110	1.00462738095238
1	0	3	120	1.00427142857143
1	0	3	130	1.00391547619048
1	0	3	140	1.00355952380952
1	0	3	150	1.00320357142857
1	0	3	160	1.00284761904762
1	0	3	170	1.00249166666667
1	10	3	0	1.00711904761905
1	10	3	10	1.00711904761905
1	10	3	20	1.00711904761905
1	10	3	30	1.00711904761905
1	10	3	40	1.00711904761905
1	10	3	50	1.0067630952381
1	10	3	60	1.00640714285714
1	10	3	70	1.00605119047619
1	10	3	80	1.00569523809524
1	10	3	90	1.00533928571429
1	10	3	100	1.00498333333333
1	10	3	110	1.00462738095238
1	10	3	120	1.00427142857143
1	10	3	130	1.00391547619048
1	10	3	140	1.00355952380952
1	10	3	150	1.00320357142857
1	10	3	160	1.00284761904762
1	10	3	170	1.00249166666667
1	20	3	0	1.00711904761905
1	20	3	10	1.00711904761905
1	20	3	20	1.00711904761905
1	20	3	30	1.00711904761905
1	20	3	40	1.00711904761905
1	20	3	50	1.0067630952381
1	20	3	60	1.00640714285714
1	20	3	70	1.00605119047619
1	20	3	80	1.00569523809524
1	20	3	90	1.00533928571429
1	20	3	100	1.00498333333333
1	20	3	110	1.00462738095238
1	20	3	120	1.00427142857143
1	20	3	130	1.00391547619048
1	20	3	140	1.00355952380952
1	20	3	150	1.00320357142857
1	20	3	160	1.00284761904762
1	20	3	170	1.00249166666667
1	30	3	0	1.00711904761905
1	30	3	10	1.00711904761905
1	30	3	20	1.00711904761905
1	30	3	30	1.00711904761905
1	30	3	40	1.00711904761905
1	30	3	50	1.0067630952381
1	30	3	60	1.00640714285714
1	30	3	70	1.00605119047619
1	30	3	80	1.00569523809524
1	30	3	90	1.00533928571429
1	30	3	100	1.00498333333333
1	30	3	110	1.00462738095238
1	30	3	120	1.00427142857143
1	30	3	130	1.00391547619048
1	30	3	140	1.00355952380952
1	30	3	150	1.00320357142857
1	30	3	160	1.00284761904762
1	30	3	170	1.00249166666667
1	40	3	0	1.00711904761905
1	40	3	10	1.00711904761905
1	40	3	20	1.00711904761905
1	40	3	30	1.00711904761905
1	40	3	40	1.00711904761905
1	40	3	50	1.0067630952381
1	40	3	60	1.00640714285714
1	40	3	70	1.00605119047619
1	40	3	80	1.00569523809524
1	40	3	90	1.00533928571429
1	40	3	100	1.00498333333333
1	40	3	110	1.00462738095238
1	40	3	120	1.00427142857143
1	40	3	130	1.00391547619048
1	40	3	140	1.00355952380952
1	40	3	150	1.00320357142857
1	40	3	160	1.00284761904762
1	40	3	170	1.00249166666667
1	50	3	0	1.00602380952381
1	50	3	10	1.00602380952381
1	50	3	20	1.00602380952381
1	50	3	30	1.00602380952381
1	50	3	40	1.00602380952381
1	50	3	50	1.00572261904762
1	50	3	60	1.00542142857143
1	50	3	70	1.00512023809524
1	50	3	80	1.00481904761905
1	50	3	90	1.00451785714286
1	50	3	100	1.00421666666667
1	50	3	110	1.00391547619048
1	50	3	120	1.00361428571429
1	50	3	130	1.0033130952381
1	50	3	140	1.0030119047619
1	50	3	150	1.00271071428571
1	50	3	160	1.00240952380952
1	50	3	170	1.00210833333333
1	60	3	0	1.00492857142857
1	60	3	10	1.00492857142857
1	60	3	20	1.00492857142857
1	60	3	30	1.00492857142857
1	60	3	40	1.00492857142857
1	60	3	50	1.00468214285714
1	60	3	60	1.00443571428571
1	60	3	70	1.00418928571429
1	60	3	80	1.00394285714286
1	60	3	90	1.00369642857143
1	60	3	100	1.00345
1	60	3	110	1.00320357142857
1	60	3	120	1.00295714285714
1	60	3	130	1.00271071428571
1	60	3	140	1.00246428571429
1	60	3	150	1.00221785714286
1	60	3	160	1.00197142857143
1	60	3	170	1.001725
1	0	3.5	0	1.00821428571429
1	0	3.5	10	1.00821428571429
1	0	3.5	20	1.00821428571429
1	0	3.5	30	1.00821428571429
1	0	3.5	40	1.00821428571429
1	0	3.5	50	1.00780357142857
1	0	3.5	60	1.00739285714286
1	0	3.5	70	1.00698214285714
1	0	3.5	80	1.00657142857143
1	0	3.5	90	1.00616071428571
1	0	3.5	100	1.00575
1	0	3.5	110	1.00533928571429
1	0	3.5	120	1.00492857142857
1	0	3.5	130	1.00451785714286
1	0	3.5	140	1.00410714285714
1	0	3.5	150	1.00369642857143
1	0	3.5	160	1.00328571428571
1	0	3.5	170	1.002875
1	10	3.5	0	1.00821428571429
1	10	3.5	10	1.00821428571429
1	10	3.5	20	1.00821428571429
1	10	3.5	30	1.00821428571429
1	10	3.5	40	1.00821428571429
1	10	3.5	50	1.00780357142857
1	10	3.5	60	1.00739285714286
1	10	3.5	70	1.00698214285714
1	10	3.5	80	1.00657142857143
1	10	3.5	90	1.00616071428571
1	10	3.5	100	1.00575
1	10	3.5	110	1.00533928571429
1	10	3.5	120	1.00492857142857
1	10	3.5	130	1.00451785714286
1	10	3.5	140	1.00410714285714
1	10	3.5	150	1.00369642857143
1	10	3.5	160	1.00328571428571
1	10	3.5	170	1.002875
1	20	3.5	0	1.00821428571429
1	20	3.5	10	1.00821428571429
1	20	3.5	20	1.00821428571429
1	20	3.5	30	1.00821428571429
1	20	3.5	40	1.00821428571429
1	20	3.5	50	1.00780357142857
1	20	3.5	60	1.00739285714286
1	20	3.5	70	1.00698214285714
1	20	3.5	80	1.00657142857143
1	20	3.5	90	1.00616071428571
1	20	3.5	100	1.00575
1	20	3.5	110	1.00533928571429
1	20	3.5	120	1.00492857142857
1	20	3.5	130	1.00451785714286
1	20	3.5	140	1.00410714285714
1	20	3.5	150	1.00369642857143
1	20	3.5	160	1.00328571428571
1	20	3.5	170	1.002875
1	30	3.5	0	1.00821428571429
1	30	3.5	10	1.00821428571429
1	30	3.5	20	1.00821428571429
1	30	3.5	30	1.00821428571429
1	30	3.5	40	1.00821428571429
1	30	3.5	50	1.00780357142857
1	30	3.5	60	1.00739285714286
1	30	3.5	70	1.00698214285714
1	30	3.5	80	1.00657142857143
1	30	3.5	90	1.00616071428571
1	30	3.5	100	1.00575
1	30	3.5	110	1.00533928571429
1	30	3.5	120	1.00492857142857
1	30	3.5	130	1.00451785714286
1	30	3.5	140	1.00410714285714
1	30	3.5	150	1.00369642857143
1	30	3.5	160	1.00328571428571
1	30	3.5	170	1.002875
