waveHeight	wavePeriod	value
13.5	8	4.38944244543583
14	8	5.32026177841877
14.5	8	6.33839414033031
15	8	7.43728973430892
15.5	8	8.60962022735131
16	8	9.84758593234796
16.5	8	11.1431776230689
0.5	8.5	0
1	8.5	0
1.5	8.5	0
2	8.5	0
2.5	8.5	0
3	8.5	0
3.5	8.5	2.48222528685932E-03
4	8.5	3.71750052899156E-03
4.5	8.5	5.56750841924518E-03
5	8.5	8.33816962677729E-03
5.5	8.5	1.24876457275905E-02
6	8.5	1.87021016359536E-02
6.5	8.5	2.80091710824843E-02
7	8.5	4.19478879966997E-02
7.5	8.5	6.28231839564883E-02
8	8.5	9.40870358655788E-02
8.5	8.5	0.140909291132107
9	8.5	0.21103256303791
9.5	8.5	0.31605256335153
10	8.5	0.473335590314225
10.5	8.5	0.708890251299495
11	8.5	1.02976816999565
11.5	8.5	1.43620997559481
12	8.5	1.93417044001722
12.5	8.5	2.52714439071667
13	8.5	3.2162257931314
13.5	8.5	4.00030886791735
14	8.5	4.87637994618876
14.5	8.5	5.83985536786895
15	8.5	6.88493029958733
15.5	8.5	8.0049133399059
16	8.5	9.19253073591316
16.5	8.5	10.440191309159
0.5	9	0
1	9	0
1.5	9	0
2	9	0
2.5	9	0
3	9	0
3.5	9	2.05263910182424E-03
4	9	0.003078141843479
4.5	9	4.61598787636639E-03
5	9	6.92214496869299E-03
5.5	9	0.010380462915193
6	9	1.55665636621364E-02
6.5	9	2.33436510709639E-02
7	9	0.035006187438039
7.5	9	5.24953511008988E-02
8	9	7.87221371103133E-02
8.5	9	0.118051879666519
9	9	0.177030842966946
9.5	9	0.265475818344601
10	9	0.398108086390882
10.5	9	0.5970037099352
11	9	0.895267998466245
11.5	9	1.26139425673495
12	9	1.7142808586694
12.5	9	2.25823764179479
13	9	2.89527078390529
13.5	9	3.62521949754079
14	9	4.44599543876332
14.5	9	5.3538814485635
15	9	6.34385392084824
15.5	9	7.40990200599626
16	9	8.54532535502784
16.5	9	9.74299933350748
0.5	9.5	0
1	9.5	0
1.5	9.5	0
2	9.5	0
2.5	9.5	0
3	9.5	0
3.5	9.5	1.68425435215588E-03
4	9.5	2.53411727597076E-03
4.5	9.5	3.81281506570162E-03
5	9.5	5.73673478457001E-03
5.5	9.5	8.63145088901381E-03
6	9.5	1.29868204208854E-02
6.5	9.5	1.95398788469033E-02
7	9.5	2.93995645568208E-02
7.5	9.5	4.42343784678919E-02
8	9.5	6.65547353485118E-02
8.5	9.5	0.100137787637859
9	9.5	0.150666612382964
9.5	9.5	0.226691927417577
10	9.5	0.341079082774324
10.5	9.5	0.51318519380657
11	9.5	0.772134840401631
11.5	9.5	1.09967102754991
12	9.5	1.50894772624393
12.5	9.5	2.00501305325507
13	9.5	2.59073417656822
13.5	9.5	3.26686889141955
14	9.5	4.03224981381932
14.5	9.5	4.88404007074424
15	9.5	5.81802494008661
15.5	9.5	6.82891150498983
16	9.5	7.9106162210834
16.5	9.5	9.05652731142104
0.5	10	0
1	10	0
1.5	10	0
2	10	0
2.5	10	0
3	10	0
3.5	10	1.36664859281873E-03
4	10	2.05746124585798E-03
4.5	10	3.09746543511713E-03
5	10	4.66317027407457E-03
5.5	10	7.02030658953596E-03
6	10	0.010568926655989
6.5	10	1.59113009147165E-02
7	10	2.39541350828846E-02
7.5	10	3.60624559012876E-02
8	10	5.42912829510396E-02
8.5	10	8.17344057913871E-02
9	10	0.12304946074116
9.5	10	0.185248423134505
10	10	0.278887677094399
10.5	10	0.419859641011016
11	10	0.632090022716315
11.5	10	0.951598481472119
12	10	1.31908079964609
12.5	10	1.76877561721461
13	10	2.30434515234834
13.5	10	2.92742461186645
14	10	3.63774950046679
14.5	10	4.43336507406558
15	10	5.31088334165888
15.5	10	6.26575912519322
16	10	7.29256365965713
16.5	10	8.385240857441
0.5	10.5	0
1	10.5	0
1.5	10.5	0
2	10.5	0
2.5	10.5	0
3	10.5	0
3.5	10.5	1.09361690504591E-03
4	10.5	1.6573995997043E-03
